date,ip_growth,inflation,tbill_3m,fci
1984-04-01,0.640420110463191,0.38797332855891,0.8075,0.08
1984-05-01,0.465938535607257,0.193423657983071,0.819166666666666,0.52
1984-06-01,0.347712109653874,0.193050253005822,0.822499999999999,0.91
1984-07-01,0.330707789068673,0.384986038544177,0.843333333333333,0.92
1984-08-01,0.0620812292185135,0.287769982761521,0.8725,0.55
1984-09-01,-0.155091496462755,0.28694424279525,0.864166666666666,0.32
1984-10-01,-0.131206929176297,0.38131600064144,0.811666666666666,0.11
1984-11-01,0.38209969490004,0.1901141257024,0.717499999999999,-0.09
1984-12-01,0.105238850545497,0.189753377619172,0.671666666666666,-0.26
1985-01-01,-0.246219681782289,0.189393996007059,0.646666666666666,-0.45
1985-02-01,0.420335438568964,0.566039247171001,0.689166666666666,-0.48
1985-03-01,0.144591244244818,0.469264117819268,0.71,-0.39
1985-04-01,-0.258437066850447,0.187090793581123,0.6625,-0.37
1985-05-01,0.135428964426598,0.186741417479563,0.623333333333333,-0.44
1985-06-01,0.0689251092929055,0.279459893101563,0.579166666666666,-0.49
1985-07-01,-0.691214242766014,0.185873659462565,0.59,-0.41
1985-08-01,0.425490749790968,0.185528810174595,0.595,-0.28
1985-09-01,0.443940530286557,0.185185238107354,0.591666666666666,-0.18
1985-10-01,-0.405648921818491,0.369344833535212,0.596666666666666,-0.26
1985-11-01,0.32972639564579,0.459770924862912,0.603333333333333,-0.34
1985-12-01,1.03403695401862,0.45766670274121,0.591666666666666,-0.27
1986-01-01,0.477704757291341,0.364631215302058,0.589166666666666,-0.24
1986-02-01,-0.716691106262779,-0.182149412839116,0.588333333333333,-0.28
1986-03-01,-0.649096872004495,-0.548447444216027,0.546666666666666,-0.3
1986-04-01,0.0583218984270494,-0.367309871186094,0.505,-0.37
1986-05-01,0.198040411806488,0.275608810197969,0.5125,-0.46
1986-06-01,-0.320920562618898,0.366300775873718,0.5175,-0.36
1986-07-01,0.638276825058792,0.0913659268674926,0.485833333333333,-0.29
1986-08-01,-0.221026246557354,0.0912825257359806,0.460833333333333,-0.42
1986-09-01,0.189843608507356,0.36429912785012,0.434166666666666,-0.42
1986-10-01,0.445964495751383,0.181653092639777,0.431666666666666,-0.45
1986-11-01,0.472734931009899,0.181323712418102,0.445833333333333,-0.49
1986-12-01,0.848003965350052,0.361664047018806,0.460833333333333,-0.44
1987-01-01,-0.295090721639379,0.540055318000032,0.4525,-0.45
1987-02-01,1.25989944815296,0.358423322781487,0.465833333333333,-0.48
1987-03-01,0.152853874511205,0.357143236759771,0.465833333333333,-0.39
1987-04-01,0.619419952392252,0.444642795713434,0.47,-0.03
1987-05-01,0.657185308526564,0.265839766661013,0.471666666666666,0.37
1987-06-01,0.480982880036773,0.441501820911671,0.4725,0.32
1987-07-01,0.658370432744437,0.263968477077281,0.474166666666666,0.06
1987-08-01,0.800368058681577,0.438404910853496,0.503333333333333,-0.16
1987-09-01,0.262536428419046,0.349345333455986,0.533333333333333,0.07
1987-10-01,1.45548815446154,0.261210422792501,0.510833333333333,0.65
1987-11-01,0.543498684763932,0.347222571074912,0.474166666666666,0.84
1987-12-01,0.487299832885579,0.173160216427792,0.480833333333333,0.75
1988-01-01,0.0496115294757793,0.345423486808727,0.484166666666666,0.38
1988-02-01,0.406252265935158,0.172265331144672,0.471666666666666,0.08
1988-03-01,0.228226394594877,0.257842858794443,0.475,0.02
1988-04-01,0.527723928636092,0.59906041371569,0.4925,0.11
1988-05-01,-0.114678629435527,0.255645644130098,0.521666666666666,0.14
1988-06-01,0.25984792623257,0.424629088145156,0.538333333333333,0.12
1988-07-01,0.0487793708948913,0.4228336109521,0.560833333333333,0.25
1988-08-01,0.464012953678771,0.421053253634351,0.588333333333333,0.31
1988-09-01,-0.289224751935357,0.4192878260036,0.603333333333333,0.18
1988-10-01,0.470846803511282,0.334169066190259,0.612499999999999,0.11
1988-11-01,0.178858230686529,0.333056094716521,0.646666666666666,0.07
1988-12-01,0.455687889868361,0.331950512285228,0.6725,0.08
1989-01-01,0.28685535743218,0.413394553172796,0.689166666666666,0.08
1989-02-01,-0.428488822122208,0.329489589685305,0.710833333333333,0.19
1989-03-01,0.250470773362021,0.492207720542836,0.735,0.47
1989-04-01,0.0896936280868843,0.733798645291283,0.720833333333333,0.55
1989-05-01,-0.733942606639281,0.486224620803454,0.7025,0.34
1989-06-01,0.0646282275713616,0.322841281211872,0.679166666666666,0.22
1989-07-01,-0.966788404391039,0.321802369420076,0.656666666666666,0.15
1989-08-01,0.900535813975977,0.0,0.658333333333333,0.1
1989-09-01,-0.289231931880884,0.24067400305654,0.645833333333333,0.2
1989-10-01,-0.120624720195827,0.479617226349304,0.636666666666666,0.18
1989-11-01,0.332669008341746,0.397931285148089,0.640833333333333,0.03
1989-12-01,0.587076636289207,0.31720883061439,0.635833333333333,-0.05
1990-01-01,-0.630002489042791,0.945633524203604,0.636666666666666,-0.02
1990-02-01,0.938204945931442,0.391389932113561,0.645,-0.03
1990-03-01,0.53187084775379,0.46765478839017,0.658333333333333,0.0
1990-04-01,-0.101174904108525,0.233009814162343,0.6475,0.04
1990-05-01,0.161414325581077,0.155038790745454,0.645,-0.08
1990-06-01,0.32428415729484,0.61776258239572,0.644166666666666,-0.15
1990-07-01,-0.113252013782005,0.460830308619453,0.635,-0.16
1990-08-01,0.260335965875846,0.839379212846846,0.620833333333333,-0.03
1990-09-01,0.206063825282942,0.681562653505984,0.613333333333333,0.22
1990-10-01,-0.77117120057899,0.676948805524713,0.5975,0.39
1990-11-01,-1.1948706404385,0.224635062637368,0.588333333333333,0.29
1990-12-01,-0.67916729668136,0.373274042968407,0.561666666666666,0.38
1991-01-01,-0.456120174216678,0.371885887873713,0.518333333333333,0.42
1991-02-01,-0.661672394003609,0.0742115061887815,0.495,0.09
1991-03-01,-0.53812145552996,0.0,0.4925,-0.12
1991-04-01,0.216988197242606,0.222304648794668,0.470833333333333,-0.27
1991-05-01,0.988876894214563,0.369413054014167,0.455,-0.32
1991-06-01,0.924421759766591,0.294551022975753,0.464166666666666,-0.28
1991-07-01,0.00731550896357902,0.146950797935918,0.465,-0.39
1991-08-01,0.13694504276831,0.293255342127807,0.444166666666666,-0.54
1991-09-01,0.859288732826346,0.292397869143545,0.435,-0.54
1991-10-01,-0.224293015429033,0.145878946365929,0.415833333333333,-0.56
1991-11-01,-0.095541665528831,0.436364328777383,0.38,-0.61
1991-12-01,-0.381947520743786,0.289855275401151,0.339166666666666,-0.59
1992-01-01,-0.618798361907391,0.0723327337142976,0.316666666666666,-0.62
1992-02-01,0.725230208195082,0.216684808509004,0.32,-0.68
1992-03-01,0.869393366001869,0.360101217359432,0.336666666666666,-0.66
1992-04-01,0.692918777977613,0.215439939702655,0.3125,-0.68
1992-05-01,0.338471727712796,0.214976793649235,0.3025,-0.82
1992-06-01,-0.0228787506658001,0.285918708004562,0.305,-0.86
1992-07-01,0.891092577593255,0.285103543083931,0.2675,-0.87
1992-08-01,-0.478807828322125,0.213295495014165,0.260833333333333,-0.86
1992-09-01,0.227770908244018,0.212841513482597,0.2425,-0.76
1992-10-01,0.767053795321093,0.42432878378662,0.238333333333333,-0.6
1992-11-01,0.418706345071928,0.281888840641997,0.260833333333333,-0.63
1992-12-01,0.0670676191491637,0.140646999275162,0.268333333333333,-0.76
1993-01-01,0.476132489765657,0.350754480967818,0.25,-0.86
1993-02-01,0.368334810781334,0.209863665692022,0.244166666666666,-0.9
1993-03-01,-0.0460837340309439,0.139664827172136,0.245833333333333,-0.85
1993-04-01,0.299473789754145,0.348311045282034,0.239166666666666,-0.9
1993-05-01,-0.366162688524607,0.277777956390234,0.246666666666666,-0.94
1993-06-01,0.177686824704448,0.0693240928976379,0.255833333333333,-0.96
1993-07-01,0.288512326124657,0.138504177266174,0.253333333333333,-1.04
1993-08-01,-0.0614897648166135,0.207397239912943,0.251666666666666,-1.06
1993-09-01,0.47153213530926,0.138026246895783,0.245833333333333,-1.0
1993-10-01,0.762556819003101,0.412939334201123,0.251666666666666,-0.95
1993-11-01,0.405726920729598,0.274348594575091,0.258333333333333,-0.92
1993-12-01,0.515642438293095,0.205268631774213,0.255,-0.96
1994-01-01,0.407122179375107,0.0,0.248333333333333,-1.0
